,rating,status,experience,review_title,date,employee_title,location,pro,con,advice
10,4.0,Current Employee,more than 1 year,"Great place to learn, churn n burn culture in finance","Mar 29, 2017","Finance Manager in Seattle, WA","Seattle, WA","- super smart people, the best of the best from schools
- if you get hired here, you will be hirable anywhere, recruiting process is tough
- the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too)
- lots of opportunities to work on new, innovative projects
- cool SLU campus, lots of options for food and drinks after work","- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k
- your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone
- people who throw others under the bus and take credit for other people's work get promoted
- expectations 60 -70 hours a week, some teams expect Sunday to be an ""in the office day"", headcount never gets filled, teams are always short a few people but the work keeps piling on.","The culture and reputation of amazon will never change unless you want it to and set the tone from the top. Try using some customer obsession with employees- as management, employees are YOUR customers. Making great products or margins is fine, but if you have a reputation/brand for treating people awful, then are you really a success? Also, there is visible lack of women or minorities in any leadership role compared to pretty much every other large company in Seattle. Seems like you have to try really hard in a city as diverse as this to be so undiverse."
11,4.0,Current Employee,more than 5 years,"Customer focus is real! Growth, learning and burnout is also real","Dec 22, 2021","Senior Software Engineer in Seattle, WA","Seattle, WA","Tons of opportunities, there will be some good teams doing almost anything you might be interested in!

Moves fast! You'll learn a lot, technical and business

The vast and varied businesses are generally well managed, upper management are very competent. Top notch engineers are plentiful if you're in the pockets of businesses that are heavily tech driven.

Great internal mobility. Can transfer very easily. 

PIP culture is not real (stack ranking is real tho). I've only seen 2 cases in my 7 years here, and both cases were people who were really low performers and given 1-2 years of coaching/opportunities to improve.","doing the right thing for customers/business doesn't always mean the right thing for engineers.. there are orgs that seem to operate with the mindset that engineers are expandable resources. Always have fresh meat to churn through, instead of investing in more sustainable growth

quality of teams vary widely! Bad teams will break/burn out even strong, ambitious ppl. It's very real and sad to see.. find a new team quickly if you land in a team like this.

not all business segments need top tier talent but even the ones that do can't attract the best sometimes...","Dont be FRUPID! Pay competitively for the parts of the businesses that need it.

Promotion pay adjustment is very broken... You're expected to operate at the next level for a year before being promoted, yet you are placed at bottom of band after promo, which is frequently less pay than what a top performer at their previous level will be paid. Yep.. Congrats on your promo and here's a pay cut..."
12,3.0,Current Employee,more than 1 year,"It's boot camp. There's good and bad things about boot camp, depends on when you do it.","Jan 3, 2022","Software Development Engineer in Seattle, WA","Seattle, WA","Coming out of college, Amazon will remind you what it's like to grind, learn and do things on your own, and jump headfirst into the adult world. The learning persists on a daily basis and there's never a predictable day at work. As someone just starting in my career, that foundation has built a lot of confidence, albeit in a tough manner but sometimes that's how it's gotta be.","As I've grown into this position and developed a nice little life for myself so far, I realize I don't want this kind of intensity right now. Not to say I don't want to be challenged, but there are other places where the managerial churn is less, the benefits, pay and stock are better, and the work and community overall makes you feel better and more fulfilled.","Improve the pay, improve the life for employees, and people will feel less frustrated, more present, and just generally better. No one is satisfied here. It hurts the soul a bit even when we know the work itself isn't dull and we are truly developing as professionals."
13,2.0,Current Employee,more than 1 year,A lot of room to learn new things but also very stressful,"Jan 3, 2022",Amazon Warehouse Worker,,Decent pay and good benefits,"It's a very loud and fast paced environment, most of the employees hate their job and are very rude to each other, the company is constantly changing the rules and if you aren't up to date with those rules you can get seriously in trouble or fired for something you didn't know about. Certain areas of the building or even different sites are given better or worse treatment depending on who the management is, when upper management makes a promise to the employees to get out early you can bet that they're just lying to get you to work harder. And lastly the biggest issue is that amazon is an ever growing company with ever growing expectations for their employees but no real understanding that we are simply people who are working very hard for a company that would rather bribe us with gifts than simply let us out early on Christmas Eve.",Choosing more management that stands for the people and not just the company.
14,2.0,,,4+ years of amazon experience,"Dec 20, 2021","Warehouse Worker in Ruskin, FL","Ruskin, FL",The benefits package is really good,"You do not matter. You are 100% replaceable. How well you do your job will not help you advance as an associate, favoritism is rampant. The management does not know what they are doing as most are hired right out of college and a trained by managers with about 3 weeks experience with the company, the associate who have 2+ years of experience are used to maintain numbers and most the work load is in turned dumped onto them( L1’s are expected to pick/stow/pack at a faster rate then the ones with less experience but the new associates are not expected to ever reach the same rate. ) Process assistants regularly do the jobs of area managers as the AM’s regularly dump most of their work onto PA’s so they can continue gossiping with each other in conference rooms while claiming to be discussing business metrics however never discussing anything remotely related to work for hours on end. HR is not there to help you when you need help they are there to make sure management level personnel doesn’t get the company sued so you will be let go without hesitation if there is a issue with management. The only way you will move up in this company is by kissing butt your performance has as much influence as your ability to walk.",Instead of hiring out of company promote hard working associates with experience in the company. The best managers that I’ve had the pleasure of working with have all started from the bottom
15,1.0,,,"I Would, but I wouldn't","Jan 3, 2022","Inbound Stower in Newnan, GA","Newnan, GA","stable employment for major purchases, financial stability","one break per shift, standing for long hours, covid social distancing and sanitizing was not adhered to which resulted in a new covid case reported daily, the sign on bonuses that you're offered when you're hired you have to wait 6 months to receive. MET. You are allotted 10 hours of time off when you are hired, 10 hours is one shift. I was terminated on my off day because they'd slowed down and there weren't many hours, however it was placed in my filed that I quit (resigned) but was reported to the GDOL that I was terminated as a no call no show even though I was a transfer and hadn't even been to my first day at the new location. Falsifying documents, be careful about companies like this","You employ people who use skill to bypass information and options in the system so that you do not have to pay your employees what they are rightfully owed. Lucky for me I keep 2 jobs so your lack of integrity didn't harm me, I just hope there are no hard feelings when employees leave your company for something better and it tanks"
16,4.0,Current Employee,more than 1 year,I'm being forced to submit a review by glassdoor even though I was just wanting to read reviews on wholefoods,"Jan 1, 2022",Fulfillment Associate,,"Part time hours 
Somewhat flexibility in your schedule 
Ability to get more hours when it is offered
Vision/dental benefits
School assistance if you take advantage of that help
Pay is decent
Get discounts through various partners of amazon","Offer 20 hours of UPT(unpaid time) every 3 months. Could be beneficial to do every 2 months or at least do a little more. 
Don't like that they announce at the last minute of a overtime or no announcement at all especially for those it inconveniences when having another job to get to. 
They tend to hire a lot of young people into management positions that have never been or have any management skills.
Some managers and assistant managers have favorites.
$100 employee discount for the yr through amazon.com
No discount on prime membership",
17,3.0,Current Employee,more than 1 year,"Amazon is great! Amazon Fresh, however, is not.","Dec 13, 2021","Senior Category Manager in Seattle, WA","Seattle, WA","Great pay + stock vest plan, learn a ton, mostly pretty nice people to work with.","Working at Amazon comes with a lot of really great positives, but Amazon Fresh is not one of them.

For Amazon Fresh only - it is absolute chaos. No systems, no manager support, it's a heavy ""callout culture,"" meaning people are encouraged to call out others' mistakes in a public forum so that they can look better. Leadership is completely out of tune with the day to day activities of CMs and PMs, they have no grasp of the necessary time and actions required to complete one of their asks. 

 I feel like I am constantly just spinning my wheels and getting nothing accomplished. Really cool project, but Fresh needs a significant culture change in order to move forward. Apply at your own risk - I would strongly recommend using a role at Amazon Fresh as an opportunity to get your foot in the door at Amazon, then rotate to a new org ASAP. Do not work on this org for any more than 1 year. 

Honestly, if I didn't have to pay back relocation, I would've quit several months ago. The only thing keeping me here is that I would have to pay back relocation in full if I were to leave on my own accord.","Please please please please please take time to actually understand what your CMs, PMs, ISMs, and MMs have to go through on a daily basis. 

For example - Leadership has no clue how to utilize F3ast, which is the PRIMARY tool that I do most of my work in. How does this make sense?"
18,3.0,Current Employee,more than 3 years,Learn how a big machine works,"Dec 9, 2021","Sales Leader in San Francisco, CA","San Francisco, CA","- unlimited challenges to tackle
- surrounded by capable, competent people
- strong customer desire to take your meetings

Amazon Web services is a highly competitive to work in eternally and externally. The culture is rigorous and diligent, driving people sometimes batty but maintaining a high bar of output. And if you don’t output, you’re out. AWS is not a place to hide which is a good thing for those of us who want excellence.","- compensation is straight 60% of market and rely on stock upside for your upside
- promotions are difficult, don’t come in at the wrong level
- politics are incessant and rampant. L8s cater to L10s because they want their promotions. 
- Promotion to L8 is done through secret ballot and they reject everyone on their first try. 
- if you make top tier in performance reviews, it’s only worth a maximum of 80% of your offer letter to get compensation.

If you’re not a good writer, get ready to learn the hard way. And I mean brutally constructive feedback. The compensation model is flimsy and not competitive. If you come in at the wrong level, you’re in for a long ride. If you lose the executive sponsor who helped hire you, you’re screwed. There is also a strict chain of command methodology applied, restricting people from working with their skips. Lots of middle managers afraid of being bypassed and a sense of threat comes from that.",The chain of command insistence style of managing employees is 1950’s in design and a major turn off. Forte is an insult because skips do t have the care or time to check on if their directs feedback is legit. Pay people more money. $185K base salary in San Francisco is pitiful.
19,5.0,Current Employee,less than 1 year,Beyond my expectations,"Dec 29, 2021","Senior Software Engineer in San Francisco, CA","San Francisco, CA","Lots to opportunities to grow. (soft and tech skills)
Great level of documentation. (soft and tech skills)
Great embarking plan (including assigned embarking buddy and mentor) - this is amazing for a good start. 
Competitive compensation package. 
Loved the team, very welcoming and helpful and technically strong. Loved surrounded by smart colleagues. 
Loved the manager, who appreciates your work and respects you in person
Time allocated to be innovative such as Hackatons.
No tasks is assigned while you are on call. On call duty rotates across team members.
No meetings on Friday.","Need improvement on base salary.
Need improvement on benefits. (health, 401K matching, and #holidays)
Need adjustment on stock payment scheduling to be competitive.","Reconsider improvement on base salary payment range. 
Reconsider improvement on benefits. 401K 4% matching is very low. # of time-offs we earn is low to keep work-life balance in tact. 
Reconsider enhancing stock payment scheduling. 

Above recommendations is really a killer when a new hire is making a decision."
20,4.0,Former Employee,more than 1 year,Mostly just boring,"Nov 26, 2021","Warehouse Associate in Caledonia, MI","Caledonia, MI","You don’t have to “call in” if you can’t (or don’t feel like) come into work. You don’t need to ask permission to leave early. The time system is very flexible. 

In my experience the management team was all very laid back and reasonable. I have heard lots of horror stories from others but my experience was mostly pleasant. All managers and assistant managers (called PAs) treated everyone with respect. I was not ever disrespected by management. 

They were always laid back and reasonable as long as you hit minimum rate.

They offer double-time OT quite often which is nice if you need/want the money. You can make a pretty decent wage if you take advantage of the overtime.","If you are trained in more than one department, you will get moved around to the department where they need the most help. You don’t get any say in this. Even if you want to stay in your home department, they will force you to move around. You do not get any say in this you you just have to roll with it.

Also mandatory overtime was very common so don’t ever expect to just work a straight 40 hours all the time. You will be working a lot if 50 hour weeks. Mandatory. Don’t make plans on your overtime day and don’t have a second job or school that’s scheduled on your overtime day. They will also spring it on you at the last minute.",Yes if somebody doesn’t want to be labor shared then do not labor shared them.
21,4.0,Current Employee,more than 3 years,Good company to start a career,"Dec 27, 2021","Software Development Engineer in Bellevue, WA","Bellevue, WA","Lots to learn from the fast paced work style at Amazon. As a graduate straight out of University, this is a perfect place to start your career. Surrounded by abundance of knowledge (including SDMs who have good technical understanding as most of them are converted from SDEs), you can learn a lot including vastly used AWS products.","Project management and work life balance is a big con working for Amazon. As a consumer driven company, the projects keep flowing to each team's pipeline continuously giving no room for personal skill development or maintaining a good work life balance.","Though Amazon keeps hiring a lot, existing team mostly don't see any changes (unless current employers leave the team). And with increasing projects every year it's a burden to current SDEs to manage all projects.
Only advice I can give to the management is to have defined goals for the year and any new projects need to be handled according to the team capacity and also value personal skill growth."
22,5.0,Current Employee,more than 1 year,A great place to work for,"Dec 29, 2021","Processing Assistant in Rialto, CA","Rialto, CA","Some of the best reasons are that Amazon pays pretty good, they give opportunities to all Amazon Associates to move forward, they have work for everyone, such as a deaf, mute and disable and they never fail to entertain us such as during thanksgiving, Christmas and coming New year, they got us In-N-Out Burger truck, tacos, tamales, Esquite and also handed out goodies such as T-shirts.","Some of the downsides is favoritism as some AAs favor one another and staff them on easy tasks whereas hardworking AAs are given difficult tasks. in fact, there are so many CCTV cameras all over the warehouse but if anyone complains, they take action without even checking the footage.","It would be great if you could make a surprise visit to the warehouse without letting them know and disguise yourself as a poor, non-English speaker because then you'll be able to see their true colors."
23,3.0,Current Employee,more than 3 years,Not as fun as it sounds,"Dec 7, 2021","Language Engineer in Seattle, WA","Seattle, WA",Amazon is a great company for career growth. You get to work with smart people and you have the backing of a big tech company to deliver solutions at scale. The Amazon leadership principles are also central to how Amazon operates and if you align with them you will find it a liberating work culture. All the pros are working for Amazon,"Despite Amazon being a great company, the Language Engineering role is not all it is cracked up to be. Forget ML and state of the art NLP: leadership at Amazon has determined that Lang Engineers must author deterministic FSTs while scientists do the hard NLP. Also the tooling for Lang Eng is terrible. You will be building 1980s grammars with unforgiving tooling that will cause you great frustration. They recently changed the role guidelines to say that you need advanced degree in computational linguistics which is ironic as the ideal person for this role needs extraordinary patience with applying command line tools and about the level of linguistic knowledge that comes from having a general interest in it. Another disadvantage is there are fewer than 5 Level 6 Lang Engs in Amazon and getting promoted to that level is near impossible. There are no Principal Lang Engs and the role guideline doesn’t have a category for it. Hence many people try to transfer to other roles but authoring FSTs is very limited and not very transferable for science or SDE, so you need a supportive manager and an unburdened team to find you relevant non core projects to work on.",The lack of women in senior roles at Amazon is glaring. Promote more women
24,5.0,Current Employee,more than 1 year,Great Company,"Jan 3, 2022","Receiving Associate in Rialto, CA","Rialto, CA","Lots of overtime available for those who want it. They track how fast or slow you work through their system so there is no micromanaging. You are assigned to one manager, mine is great. Vacation, benefits and personal time off is a plus. Training is great and if you don't learn everything at training, coworkers are always there to answer questions and help.",none for me. LGB8 is a good place to work.,None. Most of the management I have worked with have been great.
25,5.0,Current Employee,more than 3 years,"Great team, I've grown professionally, you get what you give","Nov 8, 2021","Corporate Employee in Seattle, WA","Seattle, WA","There are GREAT teams at Amazon, I sit on one of them. This team is collaborative, our director is the best manager I've ever had (in my nearly-20 year career spanning 8 employers) and there are others like them on adjacent teams. 

You get what you put into it -- you can take on stretch projects that positively impact your visibility and impact within the company. 

Working with some of the smartest people I've ever met. Sure, we can disagree (thank goodness, as groupthink kills collaboration), but it's done respectfully.

My role a few years ago is vastly different than what I do now, and I love that I can continue to develop in my role (and I haven't even switched teams).","Like many companies, work / life harmony is in your hands. You need to set boundaries, or you'll find yourself working a lot, as there's always more to do. 

As has been shared, would be nice to make more... I know people in similar roles to me at Facebook, Google, Apple, and Salesforce with considerably more pay and/or perks. I stay because I love my team and find the work interesting and challenging, but if that were to change, I'd probably chase the $$$.","The return to office plan seems ripe for issues, especially considering that other tech companies have leaned into remote work. Consider making a holistic plan and err on the side of remote, but make sure you're checking in and balancing those who are overworked and those who are really good at setting boundaries (to the point of taking advantage)."
26,1.0,,,Horrible place to work,"Dec 10, 2021","Warehouse Worker in Kent, WA","Kent, WA","None. They lie about everything they do. From the ""bonus"" you arent eligible for until your pay is decreased, to the lack of supervision and safety. It's a real-life ""squid games"".","Horrible work environment. Horrible hours. They change your shift with a day's notice and punish you if you can't adjust for ""mandatory overtime"" (60 hours a week when I was hired for 40) that is chosen for you at random every week. It's a warehouse full of sad, broken people who have no other options. They also tell us we will be punished if we talk about the workplace on social media and sites like this one. I dont care because it's a horrible place to work, and I can see people getting trapped here. My hiring rate was $22/hr and on my 1st day they informed me I would make $18/hr. When I asked about this they said they would have to ""figure it out"" and told me to get back to work. Everything is tracked and recorded, we can't use any lunchboxes or bags besides the clear plastic handbags they issue us, and they tell us that we should bring cold lunches because it gets crowded at microwaves in the break rooms. When I asked why social distancing and mask policies aren't enforced here they (HR) said ""there's just too many employees to manage"" even though we get notices almost DAILY saying there has been another confirmed Covid 19 case at our warehouse. Amazon is a trap. It's a place for desperate people and Amazon knows it and will use it against you. If I could rate it 0 stars I would.",Management is a joke. Just like this job and the pay wages. Its obvious why you can't retain employees.
