,Parsed review,Similar review,Similarity Value
10,"- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k
- your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone
- people who throw others under the bus and take credit for other people's work get promoted
- expectations 60 -70 hours a week, some teams expect Sunday to be an ""in the office day"", headcount never gets filled, teams are always short a few people but the work keeps piling on.","hahahaha welcome to your own personal heck you aint in cansis anymore if want to work and be treated like a machine or an inter changable cog then this is the job for you 
*the job itself wouldnt be that bad if you work with the right manager/supervisor other wise prepare for some dumb stuff
*your gonna get a complaint or 2 over your time working there just bound to happen no matter if its your fault or not 
*someone is going to lose there crap and direct there anger out at you atleast once maybe 
*no matter how well you are doing your manager will find a problem even if its not related to any thing that you did or even would know about i.e. someone puts a box in front of a pallet
*if theres vto you arent getting it ever again
*prepare for the bathroom olympics you have 5 minutes to get to the bathroom go wash your hands and get back to your spot or prepare to explain what took you so long",0.5304
11,"doing the right thing for customers/business doesn't always mean the right thing for engineers.. there are orgs that seem to operate with the mindset that engineers are expandable resources. Always have fresh meat to churn through, instead of investing in more sustainable growth

quality of teams vary widely! Bad teams will break/burn out even strong, ambitious ppl. It's very real and sad to see.. find a new team quickly if you land in a team like this.

not all business segments need top tier talent but even the ones that do can't attract the best sometimes...","They work every energy bar out of you.
Can't take a vacation until worked for at least 12 months.
Very very limited paid-time vacation pay; the majority of the vacation time is unpaid.
Supervisors hound you to make sure you process ""x"" amount of items per hour, while they sit down in a chair. 
I get it they're doing ""computer work"" but every time I turned around they were caught watching Netflix/listening to music while they harass people to work faster.
The management people I was working with repeatedly made homosexual advances in the workplace... Just because you're in a higher position, doesn't mean the sexual harassment policies don't apply to you! Pathetic. Made working there very uncomfortable. 
When I attempted to alert their bosses, they'll would give me falsified contact information because they didn't want to get reported, or get on the one who is doing the harassing's ""bad side"" which is very selfish. Overall, I would work here again because of the consistent pay, benefits, etc... However, next time around I will make sure I keep my distance from the supervisors at OKC1 Facility near Will Rogers Airport, OKC, or any other facility in the states. I will make sure I don't alert other authorities there about the sexual harassment in-person (only online via phone call or email) because a lot of times, the supervisors are very aware of how important the job is to them and most-likely will change the narrative of the story. Also, the managers would pull just about every worker in the station about their ""time off task"" however, everyone who was working there at the time knew that a good amount of the time, the restrooms were closed due to either 1)spot-cleaning or 2)construction/deep-cleaning maintenance. This is very unprofessional for the managers to accuse workers of not working because we'll have been gone for longer than 5-10 minutes due to having to wait in line to use the restaurant and go up and down different floor levels to hopefully find an open restroom! I drunk a lot of water when working because of the highly expected process rate. It's truly a workout, which I am okay with when working at any facility given I've worked at two different facilities thus far(one part-time and one full-time). So, what would I do differently? I would make sure I wait until hired again (because I resigned, have to wait 12 months to be considered to work again when resign, I'm not sure what the policies are when fired, but when resigned, this is the message I received from Amazon) and wait until I find out who my supervisors are, and do research on them to find out who their supervisors are so I am not the only worker their without leverage if those issues occur again therefore, I will have the clear option of reporting any supervisors violating any rules or make the work-environment uncomfortable instead of leaving because THEY'RE the one's in the wrong!",0.4985
12,"As I've grown into this position and developed a nice little life for myself so far, I realize I don't want this kind of intensity right now. Not to say I don't want to be challenged, but there are other places where the managerial churn is less, the benefits, pay and stock are better, and the work and community overall makes you feel better and more fulfilled.","Amazon works its people hard. Other than the stock, the base pay and benefits such as 401k match and PTO are terrible, lagging behind any other similar company in the area and industry. I have worked at some big companies and Amazon treats its people like they are disposable: Consistently understaffed and unable to recruit new people. Because of this, burn out is extremely high and they expect people to keep staying for the stock.",0.5177
13,"It's a very loud and fast paced environment, most of the employees hate their job and are very rude to each other, the company is constantly changing the rules and if you aren't up to date with those rules you can get seriously in trouble or fired for something you didn't know about. Certain areas of the building or even different sites are given better or worse treatment depending on who the management is, when upper management makes a promise to the employees to get out early you can bet that they're just lying to get you to work harder. And lastly the biggest issue is that amazon is an ever growing company with ever growing expectations for their employees but no real understanding that we are simply people who are working very hard for a company that would rather bribe us with gifts than simply let us out early on Christmas Eve.","> Communication to new hires is terrible; I had to delay getting my driver's license by a month because I had to miss DMV visit for a training day that they didn't tell me about in advance.
> Training is terrible; they tell you the minimum for the job requirements and then just throw you to the wolves.
> If you're commuting via public transit, prepare for torture. Commutes to Staten Island tend to be long and unreliable since nobody really comes here.
> Due to COVID, the job market situation, and high turnover, there is a lot of work; if you aren't good under pressure, it can get pretty stressful.
> They constantly bring up things you can get fired for. I get the point but it makes people think they're always under the threat of being fired even if they do nothing wrong.
> Many aspects of the job are harder to do if you have short arms.
> Because people are switching shifts or leaving all the time, it is difficult to form connections with most co-workers.",0.633
14,"You do not matter. You are 100% replaceable. How well you do your job will not help you advance as an associate, favoritism is rampant. The management does not know what they are doing as most are hired right out of college and a trained by managers with about 3 weeks experience with the company, the associate who have 2+ years of experience are used to maintain numbers and most the work load is in turned dumped onto them( L1’s are expected to pick/stow/pack at a faster rate then the ones with less experience but the new associates are not expected to ever reach the same rate. ) Process assistants regularly do the jobs of area managers as the AM’s regularly dump most of their work onto PA’s so they can continue gossiping with each other in conference rooms while claiming to be discussing business metrics however never discussing anything remotely related to work for hours on end. HR is not there to help you when you need help they are there to make sure management level personnel doesn’t get the company sued so you will be let go without hesitation if there is a issue with management. The only way you will move up in this company is by kissing butt your performance has as much influence as your ability to walk.","They work every energy bar out of you.
Can't take a vacation until worked for at least 12 months.
Very very limited paid-time vacation pay; the majority of the vacation time is unpaid.
Supervisors hound you to make sure you process ""x"" amount of items per hour, while they sit down in a chair. 
I get it they're doing ""computer work"" but every time I turned around they were caught watching Netflix/listening to music while they harass people to work faster.
The management people I was working with repeatedly made homosexual advances in the workplace... Just because you're in a higher position, doesn't mean the sexual harassment policies don't apply to you! Pathetic. Made working there very uncomfortable. 
When I attempted to alert their bosses, they'll would give me falsified contact information because they didn't want to get reported, or get on the one who is doing the harassing's ""bad side"" which is very selfish. Overall, I would work here again because of the consistent pay, benefits, etc... However, next time around I will make sure I keep my distance from the supervisors at OKC1 Facility near Will Rogers Airport, OKC, or any other facility in the states. I will make sure I don't alert other authorities there about the sexual harassment in-person (only online via phone call or email) because a lot of times, the supervisors are very aware of how important the job is to them and most-likely will change the narrative of the story. Also, the managers would pull just about every worker in the station about their ""time off task"" however, everyone who was working there at the time knew that a good amount of the time, the restrooms were closed due to either 1)spot-cleaning or 2)construction/deep-cleaning maintenance. This is very unprofessional for the managers to accuse workers of not working because we'll have been gone for longer than 5-10 minutes due to having to wait in line to use the restaurant and go up and down different floor levels to hopefully find an open restroom! I drunk a lot of water when working because of the highly expected process rate. It's truly a workout, which I am okay with when working at any facility given I've worked at two different facilities thus far(one part-time and one full-time). So, what would I do differently? I would make sure I wait until hired again (because I resigned, have to wait 12 months to be considered to work again when resign, I'm not sure what the policies are when fired, but when resigned, this is the message I received from Amazon) and wait until I find out who my supervisors are, and do research on them to find out who their supervisors are so I am not the only worker their without leverage if those issues occur again therefore, I will have the clear option of reporting any supervisors violating any rules or make the work-environment uncomfortable instead of leaving because THEY'RE the one's in the wrong!",0.6404
15,"one break per shift, standing for long hours, covid social distancing and sanitizing was not adhered to which resulted in a new covid case reported daily, the sign on bonuses that you're offered when you're hired you have to wait 6 months to receive. MET. You are allotted 10 hours of time off when you are hired, 10 hours is one shift. I was terminated on my off day because they'd slowed down and there weren't many hours, however it was placed in my filed that I quit (resigned) but was reported to the GDOL that I was terminated as a no call no show even though I was a transfer and hadn't even been to my first day at the new location. Falsifying documents, be careful about companies like this","Every single company you go to is going to have cons. There will ALWAYS be days you run to job search websites and apply to new jobs like crazy. In my own experience, Amazon's pros far outweigh the cons. I've had a lot more great days than bad ones. In all honesty... my biggest con was from being an HR rep for a site. No matter how hard you tried to make everyone happy there were still a small number of associates that were always incredibly unhappy or ungrateful for the effort we put in to make their work life enjoyable or at least tolerable. My only other con I can think of is some of my promotions took much longer than they should have BUT I'm cognizant of several of my own factors that slowed the process. At first I had my own growth I needed to work on. Also, at Amazon you move a lot faster not only with a degree but most importantly if you are willing to relocate. That's for the simple fact that your odds are greater when you are open to more locations. Whereas staying to one site you are limited to what they have available.",0.528
16,"Offer 20 hours of UPT(unpaid time) every 3 months. Could be beneficial to do every 2 months or at least do a little more. 
Don't like that they announce at the last minute of a overtime or no announcement at all especially for those it inconveniences when having another job to get to. 
They tend to hire a lot of young people into management positions that have never been or have any management skills.
Some managers and assistant managers have favorites.
$100 employee discount for the yr through amazon.com
No discount on prime membership","Working at Amazon comes with a lot of really great positives, but Amazon Fresh is not one of them.

For Amazon Fresh only - it is absolute chaos. No systems, no manager support, it's a heavy ""callout culture,"" meaning people are encouraged to call out others' mistakes in a public forum so that they can look better. Leadership is completely out of tune with the day to day activities of CMs and PMs, they have no grasp of the necessary time and actions required to complete one of their asks. 

 I feel like I am constantly just spinning my wheels and getting nothing accomplished. Really cool project, but Fresh needs a significant culture change in order to move forward. Apply at your own risk - I would strongly recommend using a role at Amazon Fresh as an opportunity to get your foot in the door at Amazon, then rotate to a new org ASAP. Do not work on this org for any more than 1 year. 

Honestly, if I didn't have to pay back relocation, I would've quit several months ago. The only thing keeping me here is that I would have to pay back relocation in full if I were to leave on my own accord.",0.4832
17,"Working at Amazon comes with a lot of really great positives, but Amazon Fresh is not one of them.

For Amazon Fresh only - it is absolute chaos. No systems, no manager support, it's a heavy ""callout culture,"" meaning people are encouraged to call out others' mistakes in a public forum so that they can look better. Leadership is completely out of tune with the day to day activities of CMs and PMs, they have no grasp of the necessary time and actions required to complete one of their asks. 

 I feel like I am constantly just spinning my wheels and getting nothing accomplished. Really cool project, but Fresh needs a significant culture change in order to move forward. Apply at your own risk - I would strongly recommend using a role at Amazon Fresh as an opportunity to get your foot in the door at Amazon, then rotate to a new org ASAP. Do not work on this org for any more than 1 year. 

Honestly, if I didn't have to pay back relocation, I would've quit several months ago. The only thing keeping me here is that I would have to pay back relocation in full if I were to leave on my own accord.","Beware of bad managers and horrible team mates. They are not specific to Amazon but they do exist in Amazon.

I have to admit that Monday is usually a blue day at Amazon and it is very tough to look forward to getting into office. I don't know anyone in Amazon who looks forward to getting in on Mondays.

Be realistic about SDE requirements. Coding skills are good to have but they are not the most important part of your job. I think we are hearing the same thing from every company.

Medical coverage is average or below average. Expect to pay about $60 per month for singles and about $240 per month for families. $240 per month for families gives you $3000 in medical fees before you have to pay (more) anything out-of-pocket.

SDE advancement is unreal difficult. They have about 6 levels total, SDE 1-4, then Senior Principal Engineer, and finally Distinguished Engineer. The number of SDE 1s and 2s are huge. Trying to get to SDE 3 seems to be all-of-a-sudden extremely difficult, but not impossible. So this essentially means that if you come to Amazon as a fresh grad SDE, expect to get about only one or two promotions in your entire career, which obviously is quite a lame expectation and reality. You will probably do much better in your career advancement anywhere else.

Employee retention is horrible. I am not sure why the philosophy seems to be trying to undercut existing employees and then hire from external sources. Management all say that they are trying to retain people, but actions don't seem to suggest anything better. Rumour has it that annual pay raises are horrible. This basically mean that either you are a superstar in the company before they will try to retain you, or if you are smart you should not stay in Amazon for too long.",0.6162
18,"- compensation is straight 60% of market and rely on stock upside for your upside
- promotions are difficult, don’t come in at the wrong level
- politics are incessant and rampant. L8s cater to L10s because they want their promotions. 
- Promotion to L8 is done through secret ballot and they reject everyone on their first try. 
- if you make top tier in performance reviews, it’s only worth a maximum of 80% of your offer letter to get compensation.

If you’re not a good writer, get ready to learn the hard way. And I mean brutally constructive feedback. The compensation model is flimsy and not competitive. If you come in at the wrong level, you’re in for a long ride. If you lose the executive sponsor who helped hire you, you’re screwed. There is also a strict chain of command methodology applied, restricting people from working with their skips. Lots of middle managers afraid of being bypassed and a sense of threat comes from that.","-You will be in charge of all purchasing activity, all service providers, and floor manager responsibilities for both day shift and night shift employees.
-They will give you no raise and then tell you that you are choosing to not like the compensation plan
-A large portion of your compensation is tied to stock, that you can only receive once a year. Even though they agreed to your plan upon hiring, they will say you are getting a raise on an annual basis even though they absolutely know that you can not invest or pay bills with restricted stock units. If you dont survive until stock pay out, then you do not receive any of the compensation related to your shares.
-High attrition above and below. I had 5 managers in just under 2 years and the building had near 100% attrition from the group that launched the site in just 18 months. 
-You will have atleast 2 bosses and will feel like you have 8. Every activity is up for scrutiny from every boss.
-You will likely not meet any of these bosses face to face at all during their time as one of your managers.
-You will have atleast 5 hours a week of meetings that have zero relevance for you.
-You dont participate in your own performance review at all
-Turn over at a management level is so high, leadership may have no idea of the extra work and initiatives you supported outside your role",0.6308
19,"Need improvement on base salary.
Need improvement on benefits. (health, 401K matching, and #holidays)
Need adjustment on stock payment scheduling to be competitive.","*strict on break times...15 mins is fine usually, however if you're on the opposite side of the building and need to go to the break room, it takes at least 10 minutes to get there.
*on your own on day 3, hope you can swim.",0.3631
20,"If you are trained in more than one department, you will get moved around to the department where they need the most help. You don’t get any say in this. Even if you want to stay in your home department, they will force you to move around. You do not get any say in this you you just have to roll with it.

Also mandatory overtime was very common so don’t ever expect to just work a straight 40 hours all the time. You will be working a lot if 50 hour weeks. Mandatory. Don’t make plans on your overtime day and don’t have a second job or school that’s scheduled on your overtime day. They will also spring it on you at the last minute.","-If you don't play well with others both internally and externally, you will burn out in 1-2 years
-If you don't choose work based on what you need to do to get to your next promotion, you will be a bit bored/aimless
-If you don't thrive in high autonomy environments, you will fail
-If you don't know how to network internally, you will fail",0.6952
21,"Project management and work life balance is a big con working for Amazon. As a consumer driven company, the projects keep flowing to each team's pipeline continuously giving no room for personal skill development or maintaining a good work life balance.",Work life balance. work pressure.,0.4458
22,"Some of the downsides is favoritism as some AAs favor one another and staff them on easy tasks whereas hardworking AAs are given difficult tasks. in fact, there are so many CCTV cameras all over the warehouse but if anyone complains, they take action without even checking the footage.","I honestly cannot think of many, the only thing is the social aspect is missing. I haven’t actually met my coworkers and there aren’t many events or group interactions the way I remember them, naturally, given the current climate of things. The days of simply popping over to someone’s desk and asking a question, or going for morning tea at the work cafe, attending an in-person training, are nonexistent. But I know some people don’t mind that much. I can do without it, but I do miss it sometimes.",0.4261
23,"Despite Amazon being a great company, the Language Engineering role is not all it is cracked up to be. Forget ML and state of the art NLP: leadership at Amazon has determined that Lang Engineers must author deterministic FSTs while scientists do the hard NLP. Also the tooling for Lang Eng is terrible. You will be building 1980s grammars with unforgiving tooling that will cause you great frustration. They recently changed the role guidelines to say that you need advanced degree in computational linguistics which is ironic as the ideal person for this role needs extraordinary patience with applying command line tools and about the level of linguistic knowledge that comes from having a general interest in it. Another disadvantage is there are fewer than 5 Level 6 Lang Engs in Amazon and getting promoted to that level is near impossible. There are no Principal Lang Engs and the role guideline doesn’t have a category for it. Hence many people try to transfer to other roles but authoring FSTs is very limited and not very transferable for science or SDE, so you need a supportive manager and an unburdened team to find you relevant non core projects to work on.","- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.",0.6551
24,none for me. LGB8 is a good place to work.,"Management promotes on favoritism exclusively. (feel free to ask for a promotion sheet / tracker to prove me wrong, but they won't be able to produce what doesn't exist)
There is a huge gap between what Amazon claims to be and what it is. 
Techs ignore safety to work faster
Addressing management issues gets you blacklisted
If you do more work, you get more work as a reward
Low level managers are completely inept, not even knowing basic business concepts. (Seriously, open a book guys)
It's impossible for managers to get fired, very easy to cut techs for any reason.
You spend part of your time being a janitor and cleaning up after others. 
Your education and experience don't matter for promotion in the slightest.",0.3795
25,"Like many companies, work / life harmony is in your hands. You need to set boundaries, or you'll find yourself working a lot, as there's always more to do. 

As has been shared, would be nice to make more... I know people in similar roles to me at Facebook, Google, Apple, and Salesforce with considerably more pay and/or perks. I stay because I love my team and find the work interesting and challenging, but if that were to change, I'd probably chase the $$$.","Job is grueling and honestly sucks unless you're an L3 or above employee.
Expect lower back pain and potential for carpal tunnel and Plantar fasciitis. 
Most Managers care more about numbers than the safety and health of employees. (With some exceptions)
Overtime can be MANDATORY at times and if you have prior engagements you're expected to either use your own PTO, UPT, or Sick time to get out of it. (for certain reasons you may be able to talk to HR to be excused, but you'd have to go during your lunch or after work to get that sorted out)
They pretend to care about covid-19, but won't support the team that was specifically created to prevent it in any meaningful way.",0.5585
26,"Horrible work environment. Horrible hours. They change your shift with a day's notice and punish you if you can't adjust for ""mandatory overtime"" (60 hours a week when I was hired for 40) that is chosen for you at random every week. It's a warehouse full of sad, broken people who have no other options. They also tell us we will be punished if we talk about the workplace on social media and sites like this one. I dont care because it's a horrible place to work, and I can see people getting trapped here. My hiring rate was $22/hr and on my 1st day they informed me I would make $18/hr. When I asked about this they said they would have to ""figure it out"" and told me to get back to work. Everything is tracked and recorded, we can't use any lunchboxes or bags besides the clear plastic handbags they issue us, and they tell us that we should bring cold lunches because it gets crowded at microwaves in the break rooms. When I asked why social distancing and mask policies aren't enforced here they (HR) said ""there's just too many employees to manage"" even though we get notices almost DAILY saying there has been another confirmed Covid 19 case at our warehouse. Amazon is a trap. It's a place for desperate people and Amazon knows it and will use it against you. If I could rate it 0 stars I would.","Some people really took the job too seriously and thought it was a life or death situaiton. Some of the mangers are so aloof and so disconnected from reality they make decisions that they don't grasp will have consequences. IE forcing people to go full-time ""or else"" during the busiest time of the year. Capping hours at 32 hours and penalizing people for wanting to work overtime. then ::Shocked pikachu face:: You wonder why you are understaffed and can't fill your schedule. Also if an employee has their phone out and ISN'T using it there is no need to try and make an example out of them and make a scene. look at the productivity of employees from an objective manner and not based upon anecdotal observation. It's amazon. I",0.5524
27,"If you’re an amazing worker amazon will over work you and remove basic rights that are given to other employees such as transferring to another warehouse, changing job types and learning new jobs within the warehouse. A lot of my overachieving coworkers asked for help from their managers as I did and they continuously feign ignorance to the topic.","- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.
- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.

I wouldn't recommend it as a place to work for just anyone.",0.5097
28,"There is not much investment in the skills of managing people for people leaders. Finding a great boss that will be dedicated to your development and capable of helping you get there is harder to come by, although they do exist!","Beware of bad managers and horrible team mates. They are not specific to Amazon but they do exist in Amazon.

I have to admit that Monday is usually a blue day at Amazon and it is very tough to look forward to getting into office. I don't know anyone in Amazon who looks forward to getting in on Mondays.

Be realistic about SDE requirements. Coding skills are good to have but they are not the most important part of your job. I think we are hearing the same thing from every company.

Medical coverage is average or below average. Expect to pay about $60 per month for singles and about $240 per month for families. $240 per month for families gives you $3000 in medical fees before you have to pay (more) anything out-of-pocket.

SDE advancement is unreal difficult. They have about 6 levels total, SDE 1-4, then Senior Principal Engineer, and finally Distinguished Engineer. The number of SDE 1s and 2s are huge. Trying to get to SDE 3 seems to be all-of-a-sudden extremely difficult, but not impossible. So this essentially means that if you come to Amazon as a fresh grad SDE, expect to get about only one or two promotions in your entire career, which obviously is quite a lame expectation and reality. You will probably do much better in your career advancement anywhere else.

Employee retention is horrible. I am not sure why the philosophy seems to be trying to undercut existing employees and then hire from external sources. Management all say that they are trying to retain people, but actions don't seem to suggest anything better. Rumour has it that annual pay raises are horrible. This basically mean that either you are a superstar in the company before they will try to retain you, or if you are smart you should not stay in Amazon for too long.",0.5071
